,tconst,startYear
18227,tt0008869,1918.0
18248,tt0008875,1918.0
18266,tt0008879,1918.0
18278,tt0008882,1918.0
18294,tt0008885,1918.0
18330,tt0008891,1918.0
18337,tt0008892,1918.0
18344,tt0008893,1918.0
18351,tt0008909,1918.0
18370,tt0008912,1918.0
18377,tt0008913,1918.0
18383,tt0008915,1918.0
18411,tt0008919,1918.0
18434,tt0008922,1918.0
18442,tt0008923,1918.0
18453,tt0008926,1918.0
18458,tt0008927,1918.0
18465,tt0008929,1918.0
18490,tt0008932,1918.0
18498,tt0008933,1920.0
18523,tt0008941,1918.0
18537,tt0008943,1918.0
18551,tt0008945,1918.0
18563,tt0008947,1919.0
18571,tt0008949,1918.0
18578,tt0008951,1918.0
18589,tt0008953,1918.0
18618,tt0008958,1918.0
18620,tt0008962,1918.0
18746,tt0008991,1918.0
18753,tt0008992,1918.0
18759,tt0008993,1918.0
18787,tt0008998,1918.0
18793,tt0008999,1918.0
18875,tt0009014,1918.0
18882,tt0009016,1918.0
18888,tt0009017,1918.0
18902,tt0009020,1918.0
18932,tt0009030,1918.0
18937,tt0009031,1918.0
18949,tt0009034,1918.0
18997,tt0009046,1918.0
19002,tt0009047,1918.0
19036,tt0009052,1918.0
19050,tt0009054,1918.0
19128,tt0009072,1918.0
19138,tt0009075,1918.0
19183,tt0009084,1918.0
19189,tt0009085,1918.0
19194,tt0009086,1918.0
19225,tt0009095,1918.0
19231,tt0009096,1918.0
19259,tt0009104,1918.0
19266,tt0009106,1918.0
19277,tt0009108,1918.0
19377,tt0009124,1918.0
19396,tt0009128,1918.0
19408,tt0009130,1918.0
19423,tt0009133,1918.0
19434,tt0009135,1918.0
19461,tt0009139,1918.0
19467,tt0009140,1919.0
19478,tt0009142,1918.0
19483,tt0009143,1918.0
19489,tt0009145,1918.0
19494,tt0009146,1918.0
19509,tt0009148,1918.0
19523,tt0009150,1918.0
19533,tt0009151,1918.0
19540,tt0009152,1918.0
19547,tt0009153,1918.0
19552,tt0009154,1918.0
19565,tt0009159,1918.0
19617,tt0009168,1918.0
19630,tt0009173,1918.0
19652,tt0009177,1918.0
19659,tt0009178,1918.0
19665,tt0009181,1918.0
19672,tt0009182,1919.0
19686,tt0009184,1918.0
19729,tt0009196,1918.0
19751,tt0009202,1918.0
19764,tt0009204,1918.0
19770,tt0009205,1918.0
19777,tt0009206,1918.0
19784,tt0009207,1918.0
19791,tt0009208,1918.0
19805,tt0009210,1918.0
19819,tt0009212,1918.0
19826,tt0009213,1918.0
19835,tt0009217,1918.0
19858,tt0009221,1918.0
19882,tt0009224,1918.0
19888,tt0009225,1918.0
19930,tt0009236,1918.0
19937,tt0009237,1918.0
19941,tt0009239,1918.0
19956,tt0009241,1918.0
20036,tt0009265,1918.0
20068,tt0009275,1918.0
20076,tt0009278,1918.0
20082,tt0009279,1918.0
20088,tt0009280,1918.0
20112,tt0009285,1918.0
20134,tt0009289,1918.0
20147,tt0009293,1918.0
20210,tt0009304,1918.0
20242,tt0009308,1918.0
20247,tt0009309,1918.0
20267,tt0009318,1919.0
20309,tt0009325,1918.0
20317,tt0009326,1918.0
20323,tt0009328,1918.0
20356,tt0009333,1918.0
20411,tt0009346,1918.0
20417,tt0009349,1918.0
20460,tt0009356,1918.0
20504,tt0009369,1918.0
20536,tt0009374,1918.0
20548,tt0009376,1918.0
20562,tt0009378,1918.0
20569,tt0009379,1918.0
20596,tt0009384,1918.0
20603,tt0009386,1918.0
20611,tt0009387,1918.0
20632,tt0009391,1918.0
20641,tt0009392,1918.0
20655,tt0009394,1918.0
20676,tt0009400,1918.0
20776,tt0009416,1918.0
20843,tt0009427,1918.0
20894,tt0009440,1918.0
20934,tt0009447,1918.0
21008,tt0009462,1918.0
21010,tt0009465,1918.0
21048,tt0009473,1918.0
21056,tt0009474,1918.0
21076,tt0009477,1918.0
21096,tt0009482,1918.0
21131,tt0009492,1918.0
21150,tt0009501,1918.0
21179,tt0009510,1918.0
21200,tt0009513,1918.0
21252,tt0009525,1918.0
21266,tt0009527,1918.0
21322,tt0009540,1918.0
21340,tt0009543,1918.0
21432,tt0009559,1919.0
21437,tt0009560,1918.0
21448,tt0009562,1918.0
21461,tt0009565,1918.0
21469,tt0009567,1918.0
21475,tt0009568,1919.0
21504,tt0009573,1918.0
21531,tt0009579,1918.0
21587,tt0009593,1918.0
21610,tt0009596,1918.0
21628,tt0009600,1918.0
21638,tt0009602,1918.0
21678,tt0009612,1918.0
21732,tt0009626,1918.0
21739,tt0009627,1918.0
21746,tt0009628,1918.0
21773,tt0009634,1918.0
21825,tt0009645,1918.0
21845,tt0009649,1918.0
21852,tt0009650,1918.0
21866,tt0009652,1918.0
21880,tt0009654,1918.0
21908,tt0009660,1918.0
21923,tt0009663,1918.0
21929,tt0009665,1918.0
21976,tt0009677,1918.0
21983,tt0009681,1918.0
21991,tt0009682,1918.0
22002,tt0009685,1918.0
22009,tt0009686,1918.0
22016,tt0009687,1918.0
22040,tt0009694,1918.0
22062,tt0009700,1918.0
22069,tt0009701,1918.0
22211,tt0009728,1918.0
22219,tt0009729,1918.0
22222,tt0009733,1918.0
22280,tt0009745,1918.0
22294,tt0009749,1918.0
22301,tt0009751,1918.0
22333,tt0009757,1918.0
22348,tt0009759,1917.0
22369,tt0009765,1918.0
22388,tt0009768,1918.0
22427,tt0009773,1918.0
22441,tt0009776,1918.0
22462,tt0009781,1918.0
22467,tt0009782,1918.0
22476,tt0009783,1918.0
22504,tt0009790,1918.0
22528,tt0009793,1918.0
22543,tt0009795,1918.0
22550,tt0009796,1918.0
22555,tt0009798,1918.0
22600,tt0009813,1918.0
22618,tt0009816,1918.0
22646,tt0009822,1918.0
22652,tt0009823,1918.0
22661,tt0009824,1918.0
22667,tt0009825,1918.0
22677,tt0009826,1918.0
22684,tt0009827,1918.0
22729,tt0009834,1918.0
22759,tt0009839,1918.0
22836,tt0009854,1919.0
22844,tt0009855,1919.0
22855,tt0009858,1919.0
22878,tt0009862,1919.0
22895,tt0009866,1919.0
22901,tt0009867,1919.0
22925,tt0009872,1919.0
22933,tt0009873,1919.0
22953,tt0009878,1919.0
22972,tt0009885,1919.0
23010,tt0009893,1919.0
23017,tt0009894,1919.0
23046,tt0009898,1919.0
23054,tt0009900,1919.0
23059,tt0009902,1919.0
23065,tt0009903,1919.0
23081,tt0009905,1919.0
23108,tt0009915,1919.0
23123,tt0009918,1919.0
23188,tt0009931,1919.0
23201,tt0009936,1919.0
23209,tt0009937,1919.0
23250,tt0009952,1919.0
23269,tt0009956,1919.0
23286,tt0009960,1919.0
23301,tt0009962,1919.0
23306,tt0009963,1918.0
23313,tt0009964,1919.0
23336,tt0009968,1919.0
23344,tt0009969,1919.0
23357,tt0009972,1919.0
23369,tt0009976,1919.0
23399,tt0009987,1919.0
23420,tt0009990,1919.0
23435,tt0009992,1919.0
23487,tt0010008,1919.0
23536,tt0010018,1919.0
23584,tt0010031,1919.0
23612,tt0010035,1919.0
23619,tt0010040,1919.0
23626,tt0010042,1919.0
23634,tt0010044,1918.0
23722,tt0010060,1919.0
23736,tt0010064,1919.0
23765,tt0010071,1919.0
23772,tt0010074,1919.0
23785,tt0010080,1919.0
23792,tt0010081,1919.0
23809,tt0010083,1919.0
23823,tt0010085,1919.0
23832,tt0010086,1919.0
23855,tt0010089,1919.0
23908,tt0010102,1919.0
23915,tt0010103,1919.0
23922,tt0010104,1919.0
23940,tt0010108,1919.0
23941,tt0010109,1919.0
23956,tt0010112,1919.0
23976,tt0010115,1919.0
23996,tt0010121,1919.0
24010,tt0010123,1919.0
24037,tt0010127,1919.0
24059,tt0010132,1919.0
24065,tt0010133,1919.0
24146,tt0010153,1919.0
24153,tt0010154,1919.0
24186,tt0010161,1919.0
24223,tt0010169,1919.0
24251,tt0010173,1919.0
24280,tt0010180,1918.0
24281,tt0010182,1919.0
24296,tt0010184,1919.0
24317,tt0010188,1919.0
24325,tt0010189,1919.0
24358,tt0010193,1919.0
24370,tt0010195,1919.0
24388,tt0010201,1919.0
24393,tt0010203,1919.0
24408,tt0010206,1919.0
24421,tt0010208,1919.0
24463,tt0010226,1919.0
24481,tt0010229,1919.0
